Tarefa,Região (PCI),Localidade Específica,Responsável - Sec. / Órgão,Última Atualização,Tipo,Status,Data Inicial (Prog. / Interv.),Data Final (Prog. / Interv.),Possui Dados de Gênero,Possui Dados de Cor/Raça,Possui Dados Etários,Possui Dados de Renda,Possui Dados de Escolaridade,Possui Dados de Programas Sociais,Possui Dados de Estado Civil,Possui Dados de Pessoas Com Deficiência (PCD),Possui Dados Quantitativos de Filhos,Média Atendidos (Mensal),Qtd. Total
Reabilita 60+ - Fisioterapia - Rio das Pedras,Corredor Itanhangá / Rio das Pedras,CIEP Professor Lauro De Oliveira Lima,Secretaria de Estado de Juventude e Envelhecimento Saudável (SEIJES),12/05/2026,Contínua,Em execução,01/10/2023,,Sim,Sim,Aguardando Informação,Aguardando Informação,Sim,Aguardando Informação,Aguardando Informação,Sim,Aguardando Informação,86,604
Reabilita 60+ - Ed. Física - Jacarezinho,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,22/04/2026,Contínua,Em execução,01/10/2023,,Sim,Sim,Sim,Aguardando Informação,Sim,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,40,280
Reabilita 60+ - Ed. Física - Jacarezinho,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,01/10/2023,,Sim,Sim,Sim,Aguardando Informação,Sim,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,15,80
Reabilita 60+ - Ed. Física - Manguinhos,Jacarezinho e Manguinhos,Manguinhos,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,01/10/2023,,Sim,Sim,Sim,Aguardando Informação,Sim,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,60,480
Reabilita 60+ - Fisioterapia - Manguinhos,Jacarezinho e Manguinhos,Manguinhos,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,01/10/2023,,Sim,Sim,Sim,Aguardando Informação,Sim,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,30,160
Reabilita 60+ - Educação Física - PPG,PPG,Ciep Presidente João Goulart,Secretaria de Estado Intergeracional de Juventude e Envelhecimento Saudável (SEIJES),20/04/2026,Contínua,Em execução,01/10/2023,,Sim,Sim,Sim,Aguardando Informação,Sim,Aguardando Informação,Aguardando Informação,Sim,Aguardando Informação,80,1200
Reabilita 60+ - Fisioterapia - PPG,PPG,Ciep Presidente João Goulart,Secretaria de Estado Intergeracional de Juventude e Envelhecimento Saudável (SEIJES),12/05/2026,Contínua,Em execução,01/10/2023,,Sim,Sim,Sim,Aguardando Informação,Sim,Aguardando Informação,Aguardando Informação,Sim,Aguardando Informação,50,400
CIEP João Goulart (Colégio),PPG,Ciep Presidente João Goulart,Secretaria de Estado de Educação - SEEDUC,12/05/2026,Contínua,Em execução,01/10/2023,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Boxe - Nobre Artes (Crianças),PPG,Ciep Presidente João Goulart,Nobre Artes,12/05/2026,Contínua,Em execução,01/10/2023,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Boxe - Nobre Artes (Adultos),PPG,Ciep Presidente João Goulart,Nobre Artes,12/05/2026,Contínua,Em execução,01/10/2023,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Inglês - FAETEC,PPG,Ciep Presidente João Goulart,FAETEC,12/05/2026,Contínua,Em execução,01/10/2023,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Francês - FAETEC,PPG,Ciep Presidente João Goulart,FAETEC,12/05/2026,Contínua,Em execução,01/10/2023,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Saúde Mental e Yoga - Corredor Itanhangá,Corredor Itanhangá / Rio das Pedras,Itanhangá,Programa Cidade Integrada,20/04/2026,Contínua,Em execução,01/08/2024,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,72,1150
Projeto Cozinha Brasil (Setembro/2025),Corredor Itanhangá / Rio das Pedras,Itanhangá Tijuquinha,FIRJAN,20/04/2026,Temporária,Concluída,08/09/2025,12/09/2025,Não,Não,Não,Não,Não,Não,Não,Não,Não,60,60
Ambiente Jovem,Corredor Itanhangá / Rio das Pedras,CIEP Professor Lauro De Oliveira Lima,,20/04/2026,Contínua,Aguardando Informação,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,275
Atletas do Futuro,Corredor Itanhangá / Rio das Pedras,Muzema CIEP Professor Lauro De Oliveira Lima Itanhangá,FIRJAN,20/04/2026,Contínua,Bloqueada,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,60,1200
Envelhecimento Ativo,Corredor Itanhangá / Rio das Pedras,Itanhangá,Secretaria de Estado de Envelhecimento Saudável (SEENVS),20/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,4100
Melhor Idade / +Longevidade,Corredor Itanhangá / Rio das Pedras,Itanhangá,FIRJAN,20/04/2026,Temporária,Concluída,,,Não,Não,Não,Não,Não,Não,Não,Não,Não,,2765
Passaporte Cultural,Corredor Itanhangá / Rio das Pedras,Itanhangá,Secretaria de Estado de Cultura e Economia Criativa,20/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,2200
RJ Para Todos,Corredor Itanhangá / Rio das Pedras,Muzema,Secretaria de Estado do Rio de Janeiro (SEGOV),20/04/2026,Temporária,Concluída,,,Não,Não,Não,Não,Não,Não,Não,Não,Não,,4500
Sapateado E-Florescer,Corredor Itanhangá / Rio das Pedras,Itanhangá,E-Florescer,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Atendimento Fundação Leão XIII,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Fundação Leão XIII,22/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,2400
Aula de Dançaterapia,Jacarezinho e Manguinhos,Manguinhos,,22/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,20,
Cine Tela,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Fundação Anita Mantuano de Artes do Estado do Rio de Janeiro (FUNARJ),22/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,10700
CRJ Jacarezinho - Barbearia,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Jacarezinho - Design de Cílios,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Jacarezinho - Design de Sobrancelhas,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Jacarezinho - Design de Unhas,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Jacarezinho - Fotografia,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Jacarezinho - Maquiagem,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Jacarezinho - Muay Thai,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Jacarezinho - Trancista,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Manguinhos - Barbearia,Jacarezinho e Manguinhos,Manguinhos,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Manguinhos - Design de  Sobrancelhas,Jacarezinho e Manguinhos,Manguinhos,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Manguinhos - Design de Cílios,Jacarezinho e Manguinhos,Manguinhos,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Manguinhos - Design de Unhas,Jacarezinho e Manguinhos,Manguinhos,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Manguinhos - Drone,Jacarezinho e Manguinhos,Manguinhos,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Manguinhos - Fotografia,Jacarezinho e Manguinhos,Manguinhos,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Manguinhos - Maquiagem,Jacarezinho e Manguinhos,Manguinhos,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Manguinhos - Muay Thai,Jacarezinho e Manguinhos,Manguinhos,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ Manguinhos - Trancista,Jacarezinho e Manguinhos,Manguinhos,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,22/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
FAETEC,Jacarezinho e Manguinhos,Manguinhos,FAETEC,22/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Favela Orquestra,Jacarezinho e Manguinhos,Manguinhos,Instituto Brasileiro de Música e Educação (IBME),22/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,12,
Posto do Detran,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,DETRAN,22/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,550,20900
Reunião CCCI,Jacarezinho e Manguinhos,Campo do Abóbora - JacarézinhoManguinhos,,22/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,30,
RJ Alimenta,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,,12/05/2026,Temporária,Concluída,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
RJ Para Todos,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,,22/04/2026,Esporádica,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,6000
Sala de Cinema CRJ,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Fundação Anita Mantuano de Artes do Estado do Rio de Janeiro (FUNARJ),22/04/2026,Esporádica,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Teatro com Moacyr Goes,Jacarezinho e Manguinhos,Campo do Abóbora - Jacarézinho,Fundação Anita Mantuano de Artes do Estado do Rio de Janeiro (FUNARJ),22/04/2026,Contínua,Bloqueada,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,24,
Cria RJ,PPG,Ciep Presidente João Goulart,Secretaria de Cultura e Economia Criativa (SECEC) ,20/04/2026,Contínua,Concluída,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Espanhol - FAETEC,PPG,Ciep Presidente João Goulart,FAETEC,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Projeto Laço Rosa - Perucaria,PPG,Ciep Presidente João Goulart,Fundação Laço Rosa,20/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Sala da Mulher Empreendedora (Espaço Mulher +),PPG,Ciep Presidente João Goulart,Secretaria da Mulher (SEM),12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Passaporte Cultural,PPG,Cantagalo-Pavão-Pavãozinho,Secretaria de Cultura e Economia Criativa (SECEC) ,20/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,814
CRJ - Barbeiro,PPG,Ciep Presidente João Goulart,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Aula de Dançaterapia,PPG,Ciep Presidente João Goulart,,20/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Aula de Yoga e Saúde Mental,PPG,Ciep Presidente João Goulart,,20/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,176
Atendimento Fundação Leão XIII,PPG,Ciep Presidente João Goulart,Fundação Leão XIII,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,150,
Ginástica da UPP,PPG,Ciep Presidente João Goulart,Unidade de Polícia Pacificadora ,20/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Balé do Patrick,PPG,Ciep Presidente João Goulart,,20/04/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Geração de Sons (Favela Orquestra),PPG,Ciep Presidente João Goulart,Instituto Brasileiro de Música e Educação (IBME),20/04/2026,Contínua,Em execução,,,Sim,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,44
Teatro com Moacyr Goes,PPG,Ciep Presidente João Goulart,FUNARJ,20/04/2026,Contínua,Bloqueada,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Harmonicanto,PPG,Ciep Presidente João Goulart,Secretaria de Estado de Cultura e Economia Criativa,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,20,
FUNARJ Convida,PPG,Cantagalo-Pavão-Pavãozinho,FUNARJ,20/04/2026,Esporádica,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Ginástica da Clínica da Família,PPG,Ciep Presidente João Goulart,Clínica da Família,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Corpoterapia,PPG,Ciep Presidente João Goulart,,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Dançaterapia,PPG,Ciep Presidente João Goulart,,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Alongamento,PPG,Ciep Presidente João Goulart,,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
